"date","vaccine_series_completed_percent_population","zip_code"
2021-02-17,0.049,"Non-Protect Chicago Plus"
2021-02-18,0.052,"Non-Protect Chicago Plus"
2021-02-19,0.055,"Non-Protect Chicago Plus"
2021-02-20,0.057,"Non-Protect Chicago Plus"
2021-02-21,0.058,"Non-Protect Chicago Plus"
2021-02-22,0.061,"Non-Protect Chicago Plus"
2021-02-23,0.064,"Non-Protect Chicago Plus"
2021-02-24,0.067,"Non-Protect Chicago Plus"
2021-02-25,0.071,"Non-Protect Chicago Plus"
2021-02-26,0.076,"Non-Protect Chicago Plus"
2021-02-27,0.078,"Non-Protect Chicago Plus"
2021-02-28,0.079,"Non-Protect Chicago Plus"
2021-03-01,0.081,"Non-Protect Chicago Plus"
2021-03-02,0.084,"Non-Protect Chicago Plus"
2021-03-03,0.088,"Non-Protect Chicago Plus"
2021-03-04,0.091,"Non-Protect Chicago Plus"
2021-03-05,0.094,"Non-Protect Chicago Plus"
2021-03-06,0.097,"Non-Protect Chicago Plus"
2021-03-07,0.098,"Non-Protect Chicago Plus"
2021-03-08,0.1,"Non-Protect Chicago Plus"
2021-03-09,0.104,"Non-Protect Chicago Plus"
2021-03-10,0.107,"Non-Protect Chicago Plus"
2021-03-11,0.111,"Non-Protect Chicago Plus"
2021-03-12,0.116,"Non-Protect Chicago Plus"
2021-03-13,0.119,"Non-Protect Chicago Plus"
2021-03-14,0.12,"Non-Protect Chicago Plus"
2021-03-15,0.123,"Non-Protect Chicago Plus"
2021-03-16,0.126,"Non-Protect Chicago Plus"
2021-03-17,0.128,"Non-Protect Chicago Plus"
2021-03-18,0.131,"Non-Protect Chicago Plus"
2021-03-19,0.134,"Non-Protect Chicago Plus"
2021-03-20,0.136,"Non-Protect Chicago Plus"
2021-03-21,0.137,"Non-Protect Chicago Plus"
2021-03-22,0.139,"Non-Protect Chicago Plus"
2021-03-23,0.141,"Non-Protect Chicago Plus"
2021-03-24,0.144,"Non-Protect Chicago Plus"
2021-03-25,0.148,"Non-Protect Chicago Plus"
2021-03-26,0.152,"Non-Protect Chicago Plus"
2021-03-27,0.155,"Non-Protect Chicago Plus"
2021-03-28,0.157,"Non-Protect Chicago Plus"
2021-03-29,0.159,"Non-Protect Chicago Plus"
2021-03-30,0.163,"Non-Protect Chicago Plus"
2021-03-31,0.168,"Non-Protect Chicago Plus"
2021-04-01,0.172,"Non-Protect Chicago Plus"
2021-04-02,0.179,"Non-Protect Chicago Plus"
2021-04-03,0.183,"Non-Protect Chicago Plus"
2021-04-04,0.185,"Non-Protect Chicago Plus"
2021-04-05,0.191,"Non-Protect Chicago Plus"
2021-04-06,0.198,"Non-Protect Chicago Plus"
2021-04-07,0.205,"Non-Protect Chicago Plus"
2021-04-08,0.213,"Non-Protect Chicago Plus"
2021-04-09,0.221,"Non-Protect Chicago Plus"
2021-04-10,0.227,"Non-Protect Chicago Plus"
2021-04-11,0.231,"Non-Protect Chicago Plus"
2021-04-12,0.238,"Non-Protect Chicago Plus"
2021-04-13,0.245,"Non-Protect Chicago Plus"
2021-04-14,0.251,"Non-Protect Chicago Plus"
2021-04-15,0.258,"Non-Protect Chicago Plus"
2021-04-16,0.265,"Non-Protect Chicago Plus"
2021-04-17,0.27,"Non-Protect Chicago Plus"
2021-04-18,0.273,"Non-Protect Chicago Plus"
2021-04-19,0.28,"Non-Protect Chicago Plus"
2021-04-20,0.288,"Non-Protect Chicago Plus"
2021-04-21,0.294,"Non-Protect Chicago Plus"
2021-04-22,0.3,"Non-Protect Chicago Plus"
2021-04-23,0.307,"Non-Protect Chicago Plus"
2021-04-24,0.312,"Non-Protect Chicago Plus"
2021-04-25,0.313,"Non-Protect Chicago Plus"
2021-04-26,0.319,"Non-Protect Chicago Plus"
2021-04-27,0.328,"Non-Protect Chicago Plus"
2021-04-28,0.334,"Non-Protect Chicago Plus"
2021-04-29,0.341,"Non-Protect Chicago Plus"
2021-04-30,0.347,"Non-Protect Chicago Plus"
2021-05-01,0.351,"Non-Protect Chicago Plus"
2021-05-02,0.352,"Non-Protect Chicago Plus"
2021-05-03,0.357,"Non-Protect Chicago Plus"
2021-05-04,0.363,"Non-Protect Chicago Plus"
2021-05-05,0.368,"Non-Protect Chicago Plus"
2021-05-06,0.373,"Non-Protect Chicago Plus"
2021-05-07,0.378,"Non-Protect Chicago Plus"
2021-05-08,0.382,"Non-Protect Chicago Plus"
2021-05-09,0.384,"Non-Protect Chicago Plus"
2021-05-10,0.387,"Non-Protect Chicago Plus"
2021-05-11,0.392,"Non-Protect Chicago Plus"
2021-05-12,0.397,"Non-Protect Chicago Plus"
2021-05-13,0.403,"Non-Protect Chicago Plus"
2021-05-14,0.408,"Non-Protect Chicago Plus"
2021-05-15,0.413,"Non-Protect Chicago Plus"
